Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,8333,2005,8241,34,0,1971,3079,92,92,11,game192
unsolvable,38991,15217,38990,2011,0,13206,24593,25,0,52,game193
solved,117,96,21,41,0,55,97,96,96,0,game194
unsolvable,4226210,1474056,4226209,631538,0,842518,1572869,53,0,5530,game195
timed-out,340047774,163940838,340047714,127572955,0,36367883,50331653,595,60,300000,game196
solved,168,84,84,26,0,58,97,84,84,0,game197
solved,181,101,81,35,0,66,97,100,100,0,game198
unsolvable,150,76,149,8,0,68,97,6,0,0,game199
solved,1132,625,1043,181,0,444,769,89,89,1,game2
solved,467,146,331,47,0,99,193,136,136,0,game20
solved,1084,592,993,97,0,495,769,91,91,1,game200
solved,4015,928,3920,94,0,834,1543,95,95,4,game201
solved,2867,1327,2776,47,0,1280,1543,91,91,4,game202
unsolvable,162683,62786,162682,27111,0,35675,49157,32,0,167,game203
solved,32122,8462,32044,3395,0,5067,6151,87,78,31,game204
solved,103465,34572,103373,10317,0,24255,24593,92,92,119,game205
solved,8203,3287,8128,634,0,2653,3079,75,75,9,game206
solved,128,81,49,35,0,46,53,79,79,0,game207
unsolvable,2312636,882777,2312635,467780,0,414997,786433,65,0,3268,game208
solved,219,104,126,33,0,71,97,93,93,0,game209
solved,108,100,19,41,0,59,97,89,89,0,game21
solved,41065,9612,40967,28,0,9584,12289,98,98,49,game210
solved,2501761,676285,2501677,141446,0,534839,786433,84,84,2978,game211
solved,149898,46668,149806,2997,0,43671,49157,92,92,208,game212
solved,2298,569,2214,31,0,538,769,84,84,2,game213
solved,2492,926,2393,280,0,646,769,99,99,3,game214
solved,190,120,106,25,0,95,97,84,84,0,game215
solved,13933725,3984527,13933638,2007596,0,1976931,3145739,90,87,15310,game216
unsolvable,475150,189660,475149,87072,0,102588,196613,22,0,596,game217
timed-out,215690682,54226916,215690641,17389377,0,36837539,50331653,91,41,300000,game218
unsolvable,67053,23114,67052,165,0,22949,24593,39,0,94,game219
solved,812,174,726,31,0,143,193,86,86,0,game22
solved,16575604,3770134,16575521,543220,0,3226914,6291469,101,83,22969,game220
solved,7878,1064,7756,38,0,1026,1543,122,122,8,game221
solved,254175,73735,254087,3304,0,70431,98317,88,88,299,game222
unsolvable,42098,16071,42097,3987,0,12084,12289,23,0,49,game223
solved,2174,1185,2099,164,0,1021,1543,75,75,3,game224
solved,111,84,31,27,0,57,97,80,80,0,game225
timed-out,263131238,55271925,263131074,22728684,0,32543241,50331653,343,164,300000,game226
solved,167,103,85,35,0,68,97,82,82,0,game227
unsolvable,34786,11351,34785,1560,0,9791,12289,36,0,45,game228
