Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,84610,38077,84522,8550,0,29527,49157,88,88,161,game185
solved,12689,5840,12596,1170,0,4670,6151,93,93,21,game186
unsolvable,613409,227114,613408,21435,0,205679,393241,29,0,1193,game187
solved,671339,178788,671248,12163,0,166625,196613,91,91,1051,game188
solved,3013228,843944,3013133,359430,0,484514,786433,95,95,4189,game189
solved,192,107,93,30,0,77,97,99,99,0,game19
unsolvable,697011,250633,697010,59135,0,191498,196613,36,0,1174,game190
solved,31652,16519,31560,5081,0,11438,12289,92,92,58,game191
solved,44717,18140,44624,1679,0,16461,24593,93,93,88,game192
solved,51291703,16056656,51291609,5418489,0,10638167,12582917,94,94,99079,game193
solved,27619,9751,27524,258,0,9493,12289,95,95,71,game194
solved,2736,1638,2637,74,0,1564,3079,99,99,10,game195
solved,251,162,164,36,0,126,193,87,87,0,game196
unsolvable,7,7,6,0,0,7,53,3,0,0,game197
solved,254935,81493,254837,20989,0,60504,98317,98,98,389,game198
solved,23482,5225,23391,1580,0,3645,6151,91,91,31,game199
solved,64731,22332,64634,3891,0,18441,24593,97,97,122,game2
solved,12061415,3620410,12061324,747703,0,2872707,3145739,91,91,22781,game20
solved,19632,5181,19546,1516,0,3665,6151,86,86,26,game200
solved,172,119,79,35,0,84,97,93,93,0,game201
unsolvable,32,26,31,4,0,22,53,7,0,0,game202
unsolvable,1023,666,1022,139,0,527,769,13,0,3,game203
solved,9501,3925,9416,733,0,3192,6151,85,85,22,game204
unsolvable,5,4,4,0,0,4,53,2,0,0,game205
solved,6324,2524,6236,986,0,1538,1543,88,88,8,game206
unsolvable,5474,2994,5473,100,0,2894,3079,20,0,12,game207
unsolvable,1862513,652881,1862512,166036,0,486845,786433,36,0,2929,game208
solved,4749,1785,4667,846,0,939,1543,82,82,7,game209
solved,111,76,35,30,0,46,53,76,76,0,game21
solved,131,96,48,35,0,61,97,83,83,0,game210
solved,11136,5997,11052,1522,0,4475,6151,84,84,23,game211
solved,27448,10158,27365,1962,0,8196,12289,83,83,45,game212
unsolvable,73,49,72,0,0,49,53,6,0,0,game213
solved,648,213,555,40,0,173,193,93,93,1,game214
unsolvable,124520,60421,124519,20287,0,40134,49157,19,0,232,game215
solved,11813,5372,11695,30,0,5342,6151,118,118,25,game216
solved,1034,379,957,23,0,356,389,77,77,2,game217
timed-out,178420907,49050402,178420868,21581443,0,27468959,50331653,70,39,300000,game218
solved,71930,24207,71846,2944,0,21263,24593,84,84,158,game219
solved,4144,1052,4048,55,0,997,1543,96,96,10,game22
unsolvable,296150,128477,296149,17619,0,110858,196613,22,0,1526,game220
solved,229,156,137,31,0,125,193,92,92,0,game221
solved,169896,53906,169799,2730,0,51176,98317,97,97,332,game222
solved,1677,850,1571,43,0,807,1543,106,106,5,game223
solved,1228,466,1131,127,0,339,389,97,97,1,game224
solved,1372,384,1280,92,0,292,389,92,92,2,game225
unsolvable,6267582,2188221,6267581,537049,0,1651172,3145739,52,0,11773,game226
solved,267754,34445,267656,65,0,34380,49157,482,98,368,game227
unsolvable,5751955,1984864,5751954,205613,0,1779251,3145739,35,0,12848,game228
solved,6635,1702,6554,705,0,997,1543,81,81,7,game229
solved,6537718,1796335,6537624,685043,0,1111292,1572869,94,94,9892,game23
solved,146,87,59,30,0,57,97,87,87,0,game230
solved,65809,21588,65724,36,0,21552,24593,85,85,181,game231
solved,190,102,96,42,0,60,97,94,94,0,game232
unsolvable,4,4,3,0,0,4,53,2,0,0,game233
unsolvable,2,2,1,0,0,2,53,1,0,0,game234
solved,593,259,485,45,0,214,389,108,108,2,game235
unsolvable,176380,73004,176379,22727,0,50277,98317,26,0,277,game236
timed-out,174467947,40612332,174467920,12039831,0,28572501,50331653,104,27,300000,game237
solved,205,118,110,26,0,92,97,95,95,0,game238
solved,400511,145389,400422,42811,0,102578,196613,89,89,577,game239
solved,922,500,830,113,0,387,389,92,92,1,game24
solved,183,97,88,27,0,70,97,95,95,0,game240
unsolvable,104,96,103,0,0,96,97,6,0,0,game241
solved,309,198,218,35,0,163,193,91,91,0,game242
solved,1088,455,1003,75,0,380,389,85,85,2,game243
solved,202,160,116,67,0,93,97,86,86,0,game244
solved,1226,643,1124,96,0,547,769,102,102,1,game245
solved,1019,458,930,51,0,407,769,89,89,1,game246
unsolvable,5,5,4,2,0,3,53,3,0,0,game247
solved,169,136,85,32,0,104,193,84,84,0,game248
solved,850,399,752,105,0,294,389,98,98,1,game249
unsolvable,2,2,1,0,0,2,53,1,0,0,game25
solved,90,87,10,31,0,56,97,80,80,0,game250
solved,57339,10821,57247,2017,0,8804,12289,92,92,57,game251
unsolvable,2819,1381,2818,1,0,1380,1543,10,0,5,game252
solved,502,242,417,42,0,200,389,85,85,0,game253
solved,3538,1423,3444,86,0,1337,1543,94,94,5,game254
unsolvable,1690,990,1689,51,0,939,1543,14,0,3,game255
solved,110,88,22,28,0,60,97,88,88,0,game256
timed-out,178628797,37624813,178628743,2255823,0,35368990,50331653,97,54,300000,game257
solved,121,110,30,45,0,65,97,91,91,0,game258
solved,657686,185780,657608,26468,0,159312,196613,78,78,1869,game259
unsolvable,14,14,13,0,0,14,53,4,0,0,game26
unsolvable,2338,1419,2337,879,0,540,769,20,0,2,game260
solved,377,233,287,23,0,210,389,90,90,0,game261
solved,15628,5659,15533,762,0,4897,6151,95,95,23,game262
solved,1148607,402988,1148517,95346,0,307642,393241,90,90,1997,game263
solved,243799,88337,243712,24846,0,63491,98317,87,87,343,game264
solved,620,386,527,121,0,265,389,93,93,1,game265
unsolvable,2161,1160,2160,260,0,900,1543,12,0,4,game266
solved,110,96,19,38,0,58,97,91,91,0,game267
solved,2035,1113,1944,493,0,620,769,91,91,4,game268
unsolvable,29,28,28,1,0,27,53,8,0,0,game269
solved,17961739,5284022,17961649,192517,0,5091505,6291469,90,90,30518,game27
solved,60976,33462,60861,10901,0,22561,24593,115,115,89,game270
unsolvable,4739147,1862573,4739146,182699,0,1679874,3145739,53,0,8926,game271
unsolvable,1,1,0,0,0,1,53,0,0,0,game272
unsolvable,20,16,19,2,0,14,53,5,0,0,game273
solved,243,179,155,59,0,120,193,88,88,0,game274
solved,9375,4596,9289,775,0,3821,6151,86,86,15,game275
unsolvable,35,24,34,1,0,23,53,8,0,0,game276
solved,46888,19005,46797,5216,0,13789,24593,91,91,58,game277
solved,157,96,70,33,0,63,97,87,87,0,game278
unsolvable,5849897,2156405,5849896,792997,0,1363408,1572869,33,0,7932,game279
solved,621613,160687,621523,28046,0,132641,196613,90,90,806,game28
solved,290272,78426,290181,27383,0,51043,98317,91,91,325,game280
solved,20909,3633,20812,97,0,3536,6151,97,97,24,game281
solved,2567,1034,2465,41,0,993,1543,102,102,4,game282
unsolvable,7736755,2944491,7736754,1296500,0,1647991,3145739,65,0,10100,game283
solved,31300,11401,31203,4343,0,7058,12289,97,97,41,game284
unsolvable,9,9,8,0,0,9,53,3,0,0,game285
unsolvable,19049687,5779473,19049686,1182298,0,4597175,6291469,49,0,28875,game286
solved,12821,4427,12729,265,0,4162,6151,92,92,18,game287
unsolvable,724,335,723,51,0,284,389,9,0,1,game288
unsolvable,7,5,6,1,0,4,53,3,0,0,game289
timed-out,203018956,52433175,203018931,11671492,0,40761683,50331653,68,25,300000,game29
solved,4225,1949,4104,220,0,1729,3079,121,121,6,game290
unsolvable,60956,25552,60955,3992,0,21560,24593,30,0,78,game291
unsolvable,13,12,12,2,0,10,53,7,0,0,game292
unsolvable,8317929,2574138,8317928,1111217,0,1462921,1572869,180,0,11757,game293
solved,838,398,754,186,0,212,389,84,84,1,game294
solved,59202,20861,59107,3933,0,16928,24593,95,95,85,game295
solved,3231,1331,3142,88,0,1243,1543,89,89,5,game296
unsolvable,2358,1277,2357,217,0,1060,1543,17,0,4,game297
unsolvable,604965,201361,604964,44928,0,156433,196613,58,0,898,game298
solved,182,91,101,29,0,62,97,81,81,0,game299
solved,257,172,171,51,0,121,193,86,86,0,game3
unsolvable,3231,1733,3230,1,0,1732,3079,10,0,8,game30
solved,4800,1879,4696,167,0,1712,3079,104,104,7,game300
solved,6255,2342,6166,348,0,1994,3079,89,89,10,game301
solved,263,189,171,45,0,144,193,92,92,0,game302
unsolvable,376,235,375,0,0,235,389,8,0,0,game303
unsolvable,241,116,240,14,0,102,193,6,0,1,game304
solved,202,116,107,41,0,75,97,95,95,0,game305
unsolvable,4050,1788,4049,339,0,1449,1543,15,0,6,game306
solved,2255,1026,2164,106,0,920,1543,91,91,4,game307
solved,6127,2436,6027,87,0,2349,3079,100,100,10,game308
solved,219970,59526,219885,13531,0,45995,49157,101,85,294,game309
solved,11717,4200,11625,631,0,3569,6151,92,92,19,game31
solved,116,94,29,26,0,68,97,87,87,0,game310
solved,117,89,29,31,0,58,97,88,88,0,game311
solved,156526,43682,156444,41,0,43641,49157,82,82,255,game312
unsolvable,2314,1294,2313,390,0,904,1543,14,0,4,game313
solved,171,99,79,34,0,65,97,92,92,0,game314
solved,121451,29859,121376,9752,0,20107,24593,75,75,156,game315
unsolvable,49,32,48,8,0,24,53,6,0,0,game316
unsolvable,5798,3162,5797,585,0,2577,3079,25,0,11,game317
solved,33227,9562,33111,1192,0,8370,12289,116,116,47,game318
solved,136878,51688,136801,12626,0,39062,49157,77,77,239,game319
solved,366,231,274,36,0,195,389,92,92,1,game32
solved,115960,38675,115863,12170,0,26505,49157,97,97,178,game320
unsolvable,386046,157511,386045,54654,0,102857,196613,31,0,655,game321
solved,234840,61494,234740,9898,0,51596,98317,116,100,358,game322
unsolvable,84667,41363,84666,847,0,40516,49157,24,0,204,game323
solved,432494,91308,432368,26527,0,64781,98317,126,126,469,game324
unsolvable,5336,2812,5335,674,0,2138,3079,14,0,8,game325
solved,464,131,363,34,0,97,97,101,101,0,game326
unsolvable,21021,10813,21020,1876,0,8937,12289,19,0,36,game327
solved,123295,35160,123206,13160,0,22000,24593,89,89,146,game328
unsolvable,272,190,271,43,0,147,193,9,0,0,game329
solved,195,103,107,32,0,71,97,88,88,0,game33
unsolvable,376443,166732,376442,61163,0,105569,196613,35,0,557,game330
solved,47353,20458,47258,1528,0,18930,24593,95,95,78,game331
solved,365561,78382,365462,1576,0,76806,98317,99,99,556,game332
solved,17317358,5439624,17317276,1134049,0,4305575,6291469,82,82,29013,game333
solved,110,96,21,41,0,55,97,89,89,0,game334
solved,584,233,486,57,0,176,193,98,98,0,game335
unsolvable,7650650,2757570,7650649,1188491,0,1569079,1572869,31,0,11041,game336
solved,1949,940,1849,368,0,572,769,100,100,3,game337
unsolvable,111881572,24145871,111881571,1895874,0,22249997,25165843,73,0,166732,game338
solved,447280,173848,447190,52720,0,121128,196613,90,90,592,game339
unsolvable,7,7,6,0,0,7,53,3,0,0,game34
unsolvable,98860,42504,98859,8286,0,34218,49157,30,0,663,game340
unsolvable,318900,146487,318899,73801,0,72686,98317,22,0,318,game341
solved,9322,4269,9228,851,0,3418,6151,94,94,12,game342
solved,852358,227587,852264,13508,0,214079,393241,94,94,1188,game343
unsolvable,87486,35208,87485,15586,0,19622,24593,36,0,91,game344
unsolvable,177962,78272,177961,28050,0,50222,98317,30,0,209,game345
unsolvable,2,2,1,1,0,1,53,1,0,0,game346
solved,6684521,2820822,6684416,1204916,0,1615906,3145739,105,105,9968,game347
unsolvable,6,4,5,2,0,2,53,2,0,0,game348
solved,633,244,555,106,0,138,193,78,78,0,game349
unsolvable,250632,83728,250631,11473,0,72255,98317,27,0,499,game35
unsolvable,105391,39576,105390,8799,0,30777,49157,20,0,202,game350
unsolvable,2261,1375,2260,410,0,965,1543,14,0,7,game351
solved,270453,99485,270361,17301,0,82184,98317,92,92,492,game352
timed-out,211383152,70791181,211383120,33258891,0,37532290,50331653,85,32,300000,game353
unsolvable,15235,7930,15234,2538,0,5392,6151,19,0,21,game354
unsolvable,1564,1118,1563,64,0,1054,1543,13,0,3,game355
solved,145,96,64,27,0,69,97,81,81,0,game356
unsolvable,345793,123702,345792,22125,0,101577,196613,29,0,522,game357
unsolvable,227,189,226,4,0,185,193,14,0,0,game358
solved,2606,1516,2515,40,0,1476,1543,91,91,4,game359
solved,312,117,203,27,0,90,97,109,109,0,game36
solved,1079,693,987,44,0,649,769,92,92,2,game360
solved,590,196,454,43,0,153,193,136,136,0,game361
solved,114,85,36,29,0,56,97,78,78,0,game362
unsolvable,46912981,16134176,46912980,5354076,0,10780100,12582917,101,0,69850,game363
solved,387,166,301,28,0,138,193,86,86,1,game364
solved,273,116,173,30,0,86,97,100,100,0,game365
solved,34856,9981,34764,29,0,9952,12289,92,92,48,game366
solved,15584,4636,15506,2228,0,2408,3079,78,78,16,game367
