Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,819517,314501,819420,50243,0,264258,393241,97,97,1412,game190
solved,156,97,59,36,0,61,97,97,97,0,game191
unsolvable,2701,1330,2700,83,0,1247,1543,17,0,4,game192
solved,184750,34480,184662,10683,0,23797,24593,88,88,204,game193
solved,359,133,245,31,0,102,193,114,114,0,game194
solved,116,86,30,35,0,51,53,86,86,0,game195
solved,510062,240156,509984,157935,0,82221,98317,78,78,630,game196
solved,166,110,65,34,0,76,97,101,101,0,game197
solved,783777,231926,783692,92471,0,139455,196613,85,85,984,game198
solved,3346,714,3256,154,0,560,769,90,90,4,game199
solved,6985,3784,6898,387,0,3397,6151,87,87,13,game2
solved,6090,2783,5994,411,0,2372,3079,96,96,14,game20
solved,162,110,67,39,0,71,97,95,95,0,game200
solved,2149,893,1917,50,0,843,1543,232,232,5,game201
solved,865631,344020,865555,203969,0,140051,196613,76,76,899,game202
solved,431,286,350,36,0,250,389,81,81,0,game203
unsolvable,134,90,133,1,0,89,97,12,0,0,game204
solved,624,310,530,31,0,279,389,94,94,2,game205
solved,2143,412,2043,32,0,380,389,100,100,2,game206
solved,138,81,57,36,0,45,53,81,81,0,game207
solved,1738,925,1625,88,0,837,1543,113,113,5,game208
solved,237,90,148,24,0,66,97,89,89,0,game209
solved,4982,1491,4885,35,0,1456,1543,97,97,9,game21
timed-out,37550702,10270372,37550682,1686478,0,8583894,12582917,66,20,60000,game210
solved,165154,54858,165066,11652,0,43206,49157,97,88,212,game211
solved,139,88,59,24,0,64,97,80,80,0,game212
unsolvable,119692,42230,119691,2500,0,39730,49157,30,0,690,game213
unsolvable,3118,1614,3117,292,0,1322,1543,23,0,7,game214
solved,515,157,383,30,0,127,193,132,132,0,game215
solved,117049,34910,116966,6804,0,28106,49157,83,83,161,game216
solved,109,86,34,27,0,59,97,75,75,0,game217
unsolvable,8416973,2701137,8416972,899827,0,1801310,3145739,47,0,12685,game218
solved,2676,1404,2589,502,0,902,1543,87,87,6,game219
solved,1512455,495553,1512363,172768,0,322785,393241,92,92,2060,game22
solved,31605,11393,31503,2275,0,9118,12289,102,102,37,game220
solved,1352,427,1263,98,0,329,389,89,89,1,game221
solved,88,72,16,25,0,47,53,72,72,0,game222
solved,232,135,144,68,0,67,97,88,88,0,game223
timed-out,44879808,10848065,44879775,3027767,0,7820298,12582917,91,33,60000,game224
solved,391,180,302,67,0,113,193,89,89,0,game225
solved,1206,564,1119,78,0,486,769,87,87,1,game226
solved,115,76,39,31,0,45,53,76,76,0,game227
timed-out,39023397,13010978,39023367,4178841,0,8832137,12582917,56,30,60000,game228
unsolvable,1138723,344621,1138722,20170,0,324451,393241,35,0,1736,game229
solved,383,140,291,51,0,89,97,92,92,0,game23
solved,1233,559,1141,35,0,524,769,92,92,2,game230
solved,148,98,62,43,0,55,97,86,86,0,game231
solved,504,156,362,40,0,116,193,142,142,0,game232
solved,163,92,72,29,0,63,97,91,91,0,game233
solved,591,279,499,90,0,189,193,92,92,2,game234
solved,1099541,417738,1099457,157484,0,260254,393241,84,84,1339,game235
solved,119,90,31,35,0,55,97,88,88,0,game236
timed-out,38560577,12837200,38560550,2789327,0,10047873,12582917,64,27,60000,game237
solved,5039,1590,4941,109,0,1481,1543,98,98,6,game238
solved,196,89,107,35,0,54,97,89,89,0,game239
solved,603,221,514,89,0,132,193,89,89,0,game24
unsolvable,72,28,71,2,0,26,53,8,0,0,game240
solved,113,74,39,22,0,52,53,74,74,0,game241
unsolvable,2041243,756946,2041242,267057,0,489889,786433,46,0,2771,game242
unsolvable,2206,1167,2205,455,0,712,769,15,0,2,game243
unsolvable,507364,175972,507363,30432,0,145540,196613,32,0,773,game244
solved,136,89,47,31,0,58,97,89,89,0,game245
solved,105926,29385,105836,6777,0,22608,24593,90,90,130,game246
solved,487,245,385,37,0,208,389,102,102,0,game247
unsolvable,4,4,3,1,0,3,53,2,0,0,game248
solved,525,378,434,30,0,348,389,91,91,0,game249
solved,899,522,808,109,0,413,769,91,91,1,game25
solved,108,93,15,34,0,59,97,93,93,0,game250
solved,1935184,721628,1935088,484859,0,236769,393241,115,96,1996,game251
solved,978320,299398,978227,59916,0,239482,393241,93,93,1587,game252
solved,15306,3722,15220,667,0,3055,3079,114,86,23,game253
solved,1907,921,1815,43,0,878,1543,92,92,3,game254
solved,46400,20776,46312,9119,0,11657,12289,88,88,68,game255
solved,105,75,30,26,0,49,53,75,75,0,game256
solved,7618,3491,7530,145,0,3346,6151,88,88,15,game257
solved,149,84,65,32,0,52,53,84,84,0,game258
solved,196151,63503,196055,10638,0,52865,98317,96,96,362,game259
solved,2887,807,2787,268,0,539,769,100,100,3,game26
solved,207,134,123,41,0,93,97,84,84,0,game260
solved,121366,60269,121267,14724,0,45545,49157,99,99,288,game261
solved,167,87,87,31,0,56,97,80,80,0,game262
solved,97,71,26,23,0,48,53,71,71,0,game263
solved,2047,996,1947,413,0,583,769,100,100,3,game264
unsolvable,2354942,827182,2354941,233750,0,593432,786433,41,0,3554,game265
