Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,212,107,118,39,0,68,97,94,94,0,game1
unsolvable,152639,61942,152638,11773,0,50169,98317,23,0,202,game10
unsolvable,2453407,1011203,2453406,253463,0,757740,786433,58,0,3394,game100
solved,17059,4884,16969,448,0,4436,6151,90,90,20,game1000
unsolvable,280,170,279,8,0,162,193,7,0,0,game101
solved,144,88,56,41,0,47,53,88,88,0,game102
unsolvable,918476,407984,918475,193768,0,214216,393241,33,0,985,game103
unsolvable,8317608,2122151,8317607,103613,0,2018538,3145739,53,0,13433,game104
solved,275,123,173,33,0,90,97,102,102,0,game105
unsolvable,9880,4908,9879,636,0,4272,6151,17,0,16,game106
unsolvable,3752,1723,3751,212,0,1511,1543,12,0,5,game107
unsolvable,111,78,110,0,0,78,97,5,0,0,game108
solved,2668,1207,2568,34,0,1173,1543,100,100,4,game109
solved,347,185,254,30,0,155,193,93,93,0,game11
unsolvable,168,113,167,0,0,113,193,9,0,0,game110
solved,4698,1365,4587,312,0,1053,1543,111,111,5,game111
unsolvable,2,2,1,0,0,2,53,1,0,0,game112
unsolvable,2271,1361,2270,0,0,1361,1543,11,0,4,game113
solved,733834,259329,733714,73916,0,185413,196613,120,120,961,game114
solved,864,504,775,43,0,461,769,89,89,1,game115
unsolvable,215,165,214,25,0,140,193,10,0,0,game116
unsolvable,97377,37025,97376,13139,0,23886,24593,90,0,109,game117
solved,22806731,6448970,22806641,1046705,0,5402265,6291469,90,90,34977,game118
unsolvable,795,585,794,11,0,574,769,18,0,1,game119
solved,4376684,1144134,4376587,330919,0,813215,1572869,97,97,6046,game12
solved,167516,73116,167422,31583,0,41533,49157,94,94,187,game120
unsolvable,1,1,0,0,0,1,53,0,0,0,game121
solved,105682,29068,105570,4524,0,24544,24593,112,112,155,game122
unsolvable,1,1,0,0,0,1,53,0,0,0,game123
unsolvable,593,351,592,25,0,326,389,9,0,1,game124
solved,4836,2190,4748,778,0,1412,1543,88,88,7,game125
solved,257394,60449,257307,17388,0,43061,49157,87,87,292,game126
solved,179,115,94,25,0,90,97,85,85,0,game127
solved,251753,56687,251622,265,0,56422,98317,131,131,361,game128
unsolvable,1,1,0,0,0,1,53,0,0,0,game129
unsolvable,4656,2358,4655,128,0,2230,3079,13,0,9,game13
solved,152549,73099,152460,29840,0,43259,49157,89,89,200,game130
unsolvable,1,1,0,0,0,1,53,0,0,0,game131
solved,31805,9989,31710,979,0,9010,12289,95,95,52,game132
timed-out,38515877,13250459,38515838,4388559,0,8861900,12582917,137,39,60000,game133
solved,168,108,71,32,0,76,97,97,97,0,game134
unsolvable,4647,2235,4646,579,0,1656,3079,22,0,6,game135
unsolvable,3154355,955961,3154354,384976,0,570985,786433,219,0,3211,game136
unsolvable,229075,115855,229074,47895,0,67960,98317,33,0,273,game137
solved,2010,1117,1921,147,0,970,1543,89,89,3,game138
unsolvable,14526,7782,14525,0,0,7782,12289,25,0,25,game139
unsolvable,1389,798,1388,361,0,437,769,9,0,1,game14
solved,124,69,55,26,0,43,53,69,69,0,game140
solved,121,85,39,31,0,54,97,82,82,0,game141
solved,5075,1934,4974,630,0,1304,1543,101,101,5,game142
unsolvable,1,1,0,0,0,1,53,0,0,0,game143
unsolvable,1,1,0,0,0,1,53,0,0,0,game144
solved,304,158,220,37,0,121,193,84,84,0,game145
solved,164,125,77,64,0,61,97,87,87,0,game146
unsolvable,3279930,1120000,3279929,186642,0,933358,1572869,40,0,4601,game147
solved,200,85,115,25,0,60,97,85,85,0,game148
solved,38398,15217,38268,41,0,15176,24593,130,130,64,game149
unsolvable,231965,100110,231964,64422,0,35688,49157,89,0,202,game15
unsolvable,158448,55962,158447,15692,0,40270,49157,25,0,210,game150
unsolvable,174569,76295,174568,29566,0,46729,49157,32,0,216,game151
solved,84,81,5,33,0,48,53,79,79,0,game152
solved,1663,565,1587,25,0,540,769,76,76,2,game153
unsolvable,48268,20782,48267,2001,0,18781,24593,27,0,89,game154
solved,2842395,1337479,2842308,1050605,0,286874,393241,257,87,2637,game155
unsolvable,907,545,906,55,0,490,769,13,0,2,game156
solved,189202,69510,189117,30650,0,38860,49157,85,85,291,game157
solved,100,75,25,22,0,53,53,75,75,0,game158
solved,5714241,1678536,5714143,181980,0,1496556,1572869,98,98,10397,game159
solved,70402,31871,70309,11183,0,20688,24593,93,93,77,game16
unsolvable,218,166,217,10,0,156,193,9,0,0,game160
unsolvable,97054,35186,97053,2591,0,32595,49157,37,0,133,game161
solved,12682,3820,12603,1212,0,2608,3079,79,79,14,game162
solved,158,89,74,29,0,60,97,84,84,0,game163
unsolvable,18,16,17,1,0,15,53,4,0,0,game164
solved,47709,19935,47624,8647,0,11288,12289,85,85,48,game165
unsolvable,30562,14938,30561,5110,0,9828,12289,43,0,32,game166
solved,5779,2242,5687,765,0,1477,1543,92,92,6,game167
solved,87505,24810,87412,6561,0,18249,24593,93,93,88,game168
solved,551259,159346,551168,85419,0,73927,98317,91,91,507,game169
unsolvable,186174,95508,186173,45008,0,50500,98317,24,0,208,game17
solved,16228,7684,16123,217,0,7467,12289,105,105,24,game170
solved,1109,274,1007,52,0,222,389,102,102,1,game171
solved,6648,2627,6540,723,0,1904,3079,108,108,8,game172
timed-out,41285604,12252759,41285577,4250786,0,8001973,12582917,107,27,60000,game173
