Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,1469800,428282,1469706,70217,0,358065,393241,94,94,2128,game1
unsolvable,1224118,388154,1224117,146584,0,241570,393241,51,0,1764,game10
unsolvable,443,311,442,84,0,227,389,8,0,1,game100
solved,224,126,132,57,0,69,97,92,92,0,game1000
unsolvable,6460736,2611959,6460735,1257811,0,1354148,1572869,55,0,9914,game101
solved,2381,1519,2291,294,0,1225,1543,90,90,4,game102
solved,120,99,26,36,0,63,97,94,94,0,game103
solved,2814,1380,2721,338,0,1042,1543,93,93,6,game104
unsolvable,35,25,34,0,0,25,53,4,0,0,game105
unsolvable,2378762,754304,2378761,95855,0,658449,786433,28,0,3825,game106
unsolvable,289096,107676,289095,17672,0,90004,98317,26,0,410,game107
solved,296,139,195,34,0,105,193,101,101,0,game108
unsolvable,248142,104664,248141,10993,0,93671,98317,29,0,435,game109
solved,50970,21601,50875,4072,0,17529,24593,95,95,99,game11
unsolvable,15,11,14,3,0,8,53,4,0,0,game110
solved,191579,80389,191485,11160,0,69229,98317,94,94,383,game111
unsolvable,1753942,679009,1753941,165646,0,513363,786433,33,0,3211,game112
unsolvable,752,473,751,48,0,425,769,16,0,1,game113
solved,889,223,788,38,0,185,193,101,101,1,game114
unsolvable,38781,13035,38780,1442,0,11593,12289,19,0,93,game115
solved,171,108,74,40,0,68,97,97,97,0,game116
unsolvable,36551414,12502089,36551413,5512861,0,6989228,12582917,79,0,58139,game117
unsolvable,17949955,4715450,17949954,53490,0,4661960,6291469,34,0,34258,game118
unsolvable,2239,1215,2238,9,0,1206,1543,12,0,10,game119
solved,335,175,233,29,0,146,193,102,102,0,game12
unsolvable,53389,19721,53388,1076,0,18645,24593,26,0,91,game120
unsolvable,35813480,11727405,35813479,4343583,0,7383822,12582917,53,0,55477,game121
solved,875,255,692,24,0,231,389,183,183,1,game122
unsolvable,268509,128251,268508,55162,0,73089,98317,28,0,361,game123
solved,231193,75064,231102,14535,0,60529,98317,91,91,301,game124
solved,135,127,58,21,0,106,193,77,77,0,game125
unsolvable,59333,22045,59332,3292,0,18753,24593,15,0,75,game126
solved,11883,4394,11800,398,0,3996,6151,83,83,20,game127
solved,84509,24822,84408,7636,0,17186,24593,101,101,89,game128
unsolvable,54421,23136,54420,4270,0,18866,24593,18,0,97,game129
solved,365,197,259,35,0,162,193,106,106,0,game13
solved,416,288,330,70,0,218,389,86,86,0,game130
solved,2913,604,2819,28,0,576,769,94,94,3,game131
solved,698613,220205,698519,35705,0,184500,196613,94,94,1040,game132
unsolvable,758,388,757,44,0,344,389,10,0,2,game133
unsolvable,2,2,1,1,0,1,53,1,0,0,game134
solved,165,92,75,27,0,65,97,90,90,0,game135
unsolvable,4506,2393,4505,43,0,2350,3079,18,0,11,game136
solved,2008,1115,1903,206,0,909,1543,105,105,7,game137
timed-out,32487657,9164582,32487631,1220420,0,7944162,12582917,42,26,60000,game138
unsolvable,17736841,5855739,17736840,2985697,0,2870042,3145739,79,0,22973,game139
unsolvable,31074,18520,31073,4044,0,14476,24593,24,0,50,game14
solved,281,128,172,39,0,89,97,109,109,0,game140
solved,1156,609,1060,323,0,286,389,96,96,3,game141
solved,20130,6698,20035,42,0,6656,12289,95,95,40,game142
solved,166,99,76,34,0,65,97,90,90,0,game143
solved,465358,199787,465272,58691,0,141096,196613,86,86,727,game144
solved,66828,26743,66734,4077,0,22666,24593,94,94,97,game145
unsolvable,100,64,99,1,0,63,97,6,0,0,game146
unsolvable,792980,284846,792979,77351,0,207495,393241,28,0,1265,game147
unsolvable,1,1,0,0,0,1,53,0,0,0,game148
solved,1444,857,1350,95,0,762,769,94,94,4,game149
unsolvable,40,32,39,4,0,28,53,8,0,0,game15
unsolvable,27455903,9436331,27455902,1518548,0,7917783,12582917,96,0,54028,game150
unsolvable,87669,40896,87668,11877,0,29019,49157,23,0,118,game151
timed-out,38596582,7717517,38596539,345928,0,7371589,12582917,121,43,60000,game152
solved,206,151,112,56,0,95,97,94,94,0,game153
unsolvable,222,144,221,42,0,102,193,8,0,1,game154
solved,199,99,111,36,0,63,97,88,88,0,game155
solved,498,177,364,25,0,152,193,134,134,0,game156
solved,109,90,19,39,0,51,53,90,90,0,game157
solved,62793,11937,62703,24,0,11913,12289,90,90,75,game158
solved,7595162,1642975,7595068,107872,0,1535103,1572869,94,94,11832,game159
solved,139,111,48,44,0,67,97,91,91,0,game16
solved,5110,2421,5019,139,0,2282,3079,91,91,14,game160
timed-out,39525537,10040469,39525509,2998992,0,7041477,12582917,67,28,60000,game161
solved,4336557,862177,4336471,7044,0,855133,1572869,86,86,6384,game162
unsolvable,1011120,444128,1011119,162296,0,281832,393241,25,0,1555,game163
unsolvable,20085921,5380618,20085920,1234951,0,4145667,6291469,71,0,32180,game164
solved,240725,63593,240636,3996,0,59597,98317,89,89,297,game165
solved,243,99,144,30,0,69,97,99,99,0,game166
solved,129548,21398,129462,299,0,21099,24593,86,86,159,game167
unsolvable,1052,666,1051,1,0,665,769,9,0,4,game168
unsolvable,28104247,10484275,28104246,2357375,0,8126900,12582917,43,0,54651,game169
unsolvable,3413,1529,3412,0,0,1529,1543,11,0,6,game17
solved,540,215,442,54,0,161,193,98,98,0,game170
solved,3290,1009,3211,284,0,725,769,79,79,3,game171
solved,205,116,113,38,0,78,97,92,92,0,game172
timed-out,38360891,10573068,38360848,3870578,0,6702490,12582917,66,43,60000,game173
solved,59491,27170,59403,4556,0,22614,24593,88,88,129,game174
solved,1033,496,946,133,0,363,389,87,87,2,game175
unsolvable,39488,12966,39487,1735,0,11231,12289,20,0,83,game176
solved,148,90,58,38,0,52,53,90,90,0,game177
solved,1208,272,1106,36,0,236,389,102,102,2,game178
solved,162,97,68,28,0,69,97,94,94,0,game179
solved,170,91,79,38,0,53,53,91,91,0,game18
