Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,16327,9817,16326,2650,0,7167,12289,26,0,52,game1
unsolvable,28289,11992,28288,522,0,11470,12289,22,0,85,game10
solved,283639,84452,283539,21185,0,63267,98317,100,100,368,game100
unsolvable,32185,16353,32184,1092,0,15261,24593,21,0,76,game1000
solved,152,122,60,44,0,78,97,92,92,0,game101
unsolvable,5883295,1757411,5883294,287738,0,1469673,1572869,25,0,10497,game102
solved,1245,729,1136,273,0,456,769,109,109,4,game103
solved,11002,2135,10896,419,0,1716,3079,106,106,16,game104
solved,754,479,667,29,0,450,769,87,87,2,game105
solved,8523,2556,8440,89,0,2467,3079,83,83,14,game106
solved,3070675,704588,3070585,83520,0,621068,786433,90,90,5254,game107
solved,527726,188792,527630,36878,0,151914,196613,96,96,929,game108
solved,2491317,778212,2491227,162851,0,615361,786433,90,90,4430,game109
solved,8173944,3421252,8173857,1369243,0,2052009,3145739,87,87,14426,game11
solved,4015,1965,3918,596,0,1369,1543,97,97,5,game110
solved,393,156,245,28,0,128,193,148,148,0,game111
solved,218,178,125,42,0,136,193,93,93,0,game112
unsolvable,3475789,1055857,3475788,107120,0,948737,1572869,40,0,6493,game113
unsolvable,7753,3968,7752,686,0,3282,6151,19,0,16,game114
solved,312,220,234,113,0,107,193,78,78,0,game115
unsolvable,130070,54486,130069,10981,0,43505,49157,30,0,311,game116
unsolvable,4,3,3,1,0,2,53,2,0,0,game117
unsolvable,563644,207594,563643,0,0,207594,393241,17,0,1202,game118
unsolvable,3,3,2,0,0,3,53,1,0,0,game119
solved,997,537,906,138,0,399,769,91,91,1,game12
unsolvable,14197254,5738944,14197253,2348561,0,3390383,6291469,58,0,28508,game120
solved,677,373,588,32,0,341,389,89,89,2,game121
unsolvable,196,126,195,21,0,105,193,9,0,0,game122
unsolvable,981,573,980,114,0,459,769,12,0,3,game123
unsolvable,11446346,4512020,11446345,558513,0,3953507,6291469,41,0,26067,game124
unsolvable,133752,52369,133751,8342,0,44027,49157,19,0,308,game125
solved,96452,34859,96364,7411,0,27448,49157,88,88,222,game126
unsolvable,65498,33464,65497,3132,0,30332,49157,18,0,222,game127
solved,246131,98522,246031,28671,0,69851,98317,100,100,514,game128
solved,569,259,490,32,0,227,389,79,79,1,game129
solved,120,98,38,40,0,58,97,82,82,0,game13
unsolvable,3,3,2,1,0,2,53,2,0,0,game130
solved,99155,38614,99054,1931,0,36683,49157,101,101,188,game131
unsolvable,788723,352188,788722,97146,0,255042,393241,43,0,1576,game132
solved,173,133,89,49,0,84,97,84,84,0,game133
solved,16417075,3346733,16416978,323521,0,3023212,3145739,97,97,23857,game134
solved,348,208,251,63,0,145,193,97,97,0,game135
solved,469,235,380,31,0,204,389,89,89,0,game136
solved,127,104,29,39,0,65,97,98,98,0,game137
solved,123,90,42,32,0,58,97,81,81,0,game138
solved,192,100,96,28,0,72,97,96,96,0,game139
unsolvable,1,1,0,0,0,1,53,0,0,0,game14
solved,272,108,173,31,0,77,97,99,99,0,game140
unsolvable,2228519,880403,2228518,368652,0,511751,786433,35,0,2948,game141
solved,5491,2407,5391,225,0,2182,3079,100,100,7,game142
solved,143,109,46,30,0,79,97,97,97,0,game143
unsolvable,52300,21394,52299,1969,0,19425,24593,22,0,80,game144
solved,6910,3328,6805,110,0,3218,6151,105,105,12,game145
unsolvable,4091512,1401556,4091511,165647,0,1235909,1572869,43,0,7245,game146
solved,142,100,53,30,0,70,97,89,89,0,game147
solved,57938,18774,57848,5144,0,13630,24593,90,90,65,game148
solved,4621,1466,4512,405,0,1061,1543,109,109,10,game149
unsolvable,1,1,0,0,0,1,53,0,0,0,game15
unsolvable,7,7,6,2,0,5,53,3,0,0,game150
solved,102,78,24,28,0,50,53,78,78,0,game151
solved,18084,3807,17961,625,0,3182,6151,205,123,28,game152
solved,1997,450,1896,66,0,384,389,101,101,3,game153
timed-out,40597101,9428892,40597065,670115,0,8758777,12582917,67,36,60000,game154
solved,93242,32758,93150,10904,0,21854,24593,92,92,105,game155
unsolvable,54,48,53,0,0,48,53,5,0,0,game156
unsolvable,74799,28920,74798,9451,0,19469,24593,13,0,86,game157
unsolvable,149,101,148,16,0,85,97,11,0,0,game158
solved,291409,133133,291324,50921,0,82212,98317,85,85,353,game159
solved,700,309,616,55,0,254,389,84,84,0,game16
solved,68672,21171,68578,4334,0,16837,24593,94,94,80,game160
unsolvable,45,34,44,6,0,28,53,10,0,0,game161
unsolvable,38,28,37,1,0,27,53,7,0,0,game162
solved,3786,1435,3695,98,0,1337,1543,91,91,5,game163
unsolvable,215,133,214,43,0,90,97,8,0,0,game164
solved,542,299,440,49,0,250,389,102,102,0,game165
