Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,202,89,113,32,0,57,97,89,89,0,game195
solved,1160,469,1076,292,0,177,193,84,84,1,game196
solved,5253,1076,5174,35,0,1041,1543,79,79,9,game197
solved,231,89,147,31,0,58,97,84,84,0,game198
solved,2953,1210,2865,444,0,766,769,88,88,3,game199
solved,69977,15404,69892,4387,0,11017,12289,85,85,113,game2
solved,153,77,76,30,0,47,53,77,77,0,game20
solved,215,164,125,37,0,127,193,90,90,0,game200
solved,309,112,201,31,0,81,97,108,108,0,game201
solved,95,73,22,29,0,44,53,73,73,0,game202
unsolvable,156004,60910,156003,14946,0,45964,49157,26,0,325,game203
solved,2229,460,2157,160,0,300,389,72,72,2,game204
solved,702,406,618,185,0,221,389,84,84,0,game205
solved,104,89,15,44,0,45,53,89,89,0,game206
solved,1385,282,1293,93,0,189,193,92,92,1,game207
solved,826,160,741,45,0,115,193,85,85,1,game208
solved,110,81,33,36,0,45,53,77,77,0,game209
unsolvable,3145661,1196961,3145660,477502,0,719459,786433,49,0,5047,game21
unsolvable,795089,274633,795088,97950,0,176683,196613,29,0,1184,game210
solved,23878,4756,23788,1924,0,2832,3079,90,90,27,game211
solved,45198,9221,45093,36,0,9185,12289,105,105,77,game212
solved,19728402,3193056,19728322,394056,0,2799000,3145739,264,80,25211,game213
solved,979,204,849,43,0,161,193,130,130,1,game214
solved,252,145,166,43,0,102,193,86,86,0,game215
solved,135,80,59,24,0,56,97,76,76,0,game216
solved,400,167,308,62,0,105,193,92,92,0,game217
solved,198,88,119,28,0,60,97,79,79,0,game218
solved,13895,4215,13803,1216,0,2999,3079,92,92,21,game219
solved,8547405,2449142,8547324,883981,0,1565161,1572869,365,81,9435,game22
unsolvable,428988,156774,428987,83424,0,73350,98317,60,0,523,game220
solved,399,171,328,63,0,108,193,71,71,1,game221
solved,172,87,86,38,0,49,53,86,86,0,game222
solved,190,150,100,34,0,116,193,90,90,0,game223
solved,94,68,26,28,0,40,53,68,68,0,game224
solved,2653,395,2554,35,0,360,389,99,99,2,game225
solved,271,166,194,40,0,126,193,77,77,0,game226
solved,128,85,52,30,0,55,97,76,76,0,game227
solved,188,102,86,30,0,72,97,102,102,0,game228
solved,98,78,20,34,0,44,53,78,78,0,game229
solved,205,86,119,39,0,47,53,86,86,0,game23
solved,1222,465,1130,62,0,403,769,92,92,3,game230
solved,131,82,49,29,0,53,53,82,82,0,game231
solved,776,205,703,72,0,133,193,73,73,0,game232
solved,93,79,15,31,0,48,53,78,78,0,game233
solved,150,84,69,42,0,42,53,81,81,0,game234
solved,171,98,73,28,0,70,97,98,98,0,game235
solved,687172,182500,687093,70537,0,111963,196613,79,79,919,game236
solved,734,251,662,32,0,219,389,72,72,1,game237
