Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,245,178,153,32,0,146,193,92,92,0,game1
solved,32436,10248,32343,1012,0,9236,12289,93,93,91,game10
unsolvable,69,55,68,20,0,35,53,10,0,0,game100
unsolvable,48120,17478,48119,1196,0,16282,24593,20,0,74,game1000
unsolvable,10756,4436,10755,837,0,3599,6151,20,0,16,game101
solved,5009,2786,4926,584,0,2202,3079,83,83,8,game102
solved,103,85,18,28,0,57,97,85,85,0,game103
solved,241171,59161,241072,7215,0,51946,98317,140,99,379,game104
unsolvable,1665,1098,1664,33,0,1065,1543,15,0,3,game105
unsolvable,98,54,97,12,0,42,53,5,0,0,game106
timed-out,32478709,9031805,32478664,2740336,0,6291469,12582917,81,45,60000,game107
unsolvable,5,4,4,0,0,4,53,2,0,0,game108
unsolvable,1435740,530186,1435739,134160,0,396026,786433,32,0,2703,game109
solved,148,89,60,42,0,47,53,88,88,0,game11
solved,165,124,70,39,0,85,97,95,95,0,game110
solved,173,108,93,30,0,78,97,80,80,0,game111
solved,578,206,446,39,0,167,193,132,132,1,game112
solved,250,202,171,55,0,147,193,79,79,0,game113
solved,203,110,105,44,0,66,97,98,98,0,game114
solved,500,296,408,119,0,177,193,92,92,1,game115
unsolvable,137,83,136,0,0,83,97,6,0,0,game116
solved,123,108,40,40,0,68,97,83,83,0,game117
solved,236,168,143,32,0,136,193,93,93,0,game118
solved,185394,57429,185293,18052,0,39377,49157,101,101,239,game119
solved,8959,4083,8879,787,0,3296,6151,80,80,14,game12
unsolvable,338744,172865,338743,64495,0,108370,196613,29,0,629,game120
solved,143,91,58,31,0,60,97,85,85,0,game121
solved,168462,67203,168367,14682,0,52521,98317,95,95,233,game122
solved,860,389,768,77,0,312,389,92,92,1,game123
unsolvable,9823,5283,9822,1337,0,3946,6151,27,0,13,game124
unsolvable,1707774,594276,1707773,184036,0,410240,786433,39,0,4447,game125
unsolvable,1,1,0,0,0,1,53,0,0,0,game126
solved,2279,1068,2188,257,0,811,1543,91,91,6,game127
