Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,1319,238,1215,42,0,196,389,104,104,4,game1
solved,1013414,370998,1013307,154829,0,216169,393241,107,107,2198,game10
solved,4362,988,4268,32,0,956,1543,103,94,5,game100
solved,3539,983,3450,432,0,551,769,89,89,3,game1000
solved,36741,14858,36658,754,0,14104,24593,83,83,62,game101
unsolvable,57,49,56,0,0,49,53,5,0,0,game102
solved,204,99,112,37,0,62,97,92,92,0,game103
unsolvable,1226,631,1225,91,0,540,769,12,0,2,game104
unsolvable,45345,24670,45344,15456,0,9214,12289,38,0,61,game105
solved,543,302,463,100,0,202,389,80,80,1,game106
unsolvable,33,27,32,0,0,27,53,4,0,0,game107
solved,639113,261070,639011,108605,0,152465,196613,102,102,993,game108
solved,171,118,80,41,0,77,97,91,91,0,game109
solved,565,214,472,53,0,161,193,93,93,0,game11
unsolvable,114,79,113,6,0,73,97,11,0,0,game110
solved,1559,445,1471,37,0,408,769,88,88,2,game111
unsolvable,10455,5004,10454,2958,0,2046,3079,13,0,11,game112
solved,10759,4824,10668,497,0,4327,6151,91,91,21,game113
solved,10845,3633,10746,471,0,3162,6151,99,99,15,game114
solved,327914,98322,327821,21931,0,76391,98317,93,93,676,game115
solved,133,92,49,27,0,65,97,84,84,0,game116
solved,24097,5551,24005,33,0,5518,6151,92,92,54,game117
solved,86850,18890,86782,2057,0,16833,24593,71,68,183,game118
solved,607,383,515,36,0,347,389,92,92,2,game119
unsolvable,1769,1017,1768,629,0,388,389,11,0,3,game12
solved,97405,34702,97309,178,0,34524,49157,96,96,200,game120
solved,486,209,390,44,0,165,193,96,96,0,game121
solved,179,125,87,34,0,91,97,92,92,0,game122
unsolvable,4,4,3,0,0,4,53,3,0,0,game123
unsolvable,50523,21444,50522,7031,0,14413,24593,63,0,81,game124
solved,121,98,48,41,0,57,97,73,73,0,game125
solved,151,110,63,40,0,70,97,88,88,0,game126
solved,1380,694,1257,209,0,485,769,123,123,2,game127
unsolvable,3,3,2,0,0,3,53,1,0,0,game128
solved,148,81,68,35,0,46,53,80,80,0,game129
unsolvable,27,19,26,8,0,11,53,4,0,0,game13
unsolvable,28,23,27,5,0,18,53,10,0,0,game130
solved,91,80,20,24,0,56,97,71,71,0,game131
unsolvable,133,88,132,23,0,65,97,10,0,0,game132
solved,801,210,627,28,0,182,193,174,174,1,game133
unsolvable,317,194,316,85,0,109,193,12,0,0,game134
unsolvable,9,9,8,0,0,9,53,3,0,0,game135
unsolvable,13766,6382,13765,1421,0,4961,6151,33,0,23,game136
solved,157,83,75,27,0,56,97,82,82,0,game137
unsolvable,952,443,951,123,0,320,389,19,0,1,game138
solved,737,338,644,32,0,306,389,93,93,1,game139
solved,238,168,150,26,0,142,193,88,88,0,game14
unsolvable,920,562,919,276,0,286,389,10,0,1,game140
solved,267,163,171,43,0,120,193,96,96,0,game141
unsolvable,87,63,86,19,0,44,53,8,0,0,game142
unsolvable,2,2,1,0,0,2,53,1,0,0,game143
solved,2210,1194,2128,244,0,950,1543,82,82,7,game144
unsolvable,17,15,16,2,0,13,53,4,0,0,game145
solved,4169,1478,4073,436,0,1042,1543,96,96,9,game146
solved,789,341,671,27,0,314,389,118,118,2,game147
unsolvable,14772197,4656214,14772196,1690050,0,2966164,3145739,80,0,33153,game148
solved,1559,436,1446,214,0,222,389,113,113,2,game149
solved,1618,761,1528,33,0,728,769,90,90,4,game15
solved,3658,1043,3561,88,0,955,1543,97,97,9,game150
solved,53997,26030,53914,11903,0,14127,24593,83,83,81,game151
unsolvable,28,21,27,3,0,18,53,9,0,0,game152
solved,245,121,135,41,0,80,97,110,110,0,game153
solved,47232,17812,47151,57,0,17755,24593,81,81,80,game154
solved,11174,4414,11081,179,0,4235,6151,93,93,18,game155
unsolvable,79382,35397,79381,10915,0,24482,24593,41,0,115,game156
solved,228,122,136,32,0,90,97,92,92,0,game157
solved,6335,2399,6236,73,0,2326,3079,99,99,12,game158
solved,3927,2197,3831,1009,0,1188,1543,96,96,8,game159
solved,1134695,276255,1134596,13185,0,263070,393241,99,99,2366,game16
solved,1136009,420282,1135909,67260,0,353022,393241,100,100,2338,game160
solved,825,421,719,35,0,386,389,106,106,3,game161
solved,28248,9729,28160,101,0,9628,12289,88,88,53,game162
solved,5259,882,5175,27,0,855,1543,84,84,8,game163
unsolvable,12416,5584,12415,2431,0,3153,6151,45,0,19,game164
