Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,1,1,0,0,0,1,53,0,0,0,game1
solved,141,108,37,43,0,65,97,104,104,0,game10
solved,97833,21747,97754,4542,0,17205,24593,79,79,97,game100
solved,158,78,80,28,0,50,53,78,78,0,game1000
unsolvable,8,8,7,2,0,6,53,6,0,0,game101
solved,55733,16208,55651,532,0,15676,24593,126,82,64,game102
solved,208,150,126,32,0,118,193,82,82,0,game103
solved,144125,26506,144051,180,0,26326,49157,74,74,158,game104
solved,5643,2064,5550,251,0,1813,3079,93,93,7,game105
solved,1991588,645584,1991504,59995,0,585589,786433,84,84,2887,game106
solved,3737,708,3644,32,0,676,769,93,93,3,game107
unsolvable,707,379,706,50,0,329,389,10,0,1,game108
solved,147,115,62,44,0,71,97,85,85,0,game109
unsolvable,5,5,4,0,0,5,53,2,0,0,game11
solved,1604,844,1514,113,0,731,769,90,90,2,game110
solved,1367,842,1272,38,0,804,1543,95,95,2,game111
solved,1716,811,1634,33,0,778,1543,82,82,2,game112
solved,6031,1900,5944,40,0,1860,3079,87,87,8,game113
unsolvable,15953,7532,15952,632,0,6900,12289,21,0,24,game114
solved,130,95,35,44,0,51,53,95,95,0,game115
solved,37299,14812,37215,4266,0,10546,12289,84,84,41,game116
unsolvable,278690,103391,278689,17359,0,86032,98317,41,0,370,game117
solved,113,84,38,27,0,57,97,75,75,0,game118
unsolvable,381,261,380,5,0,256,389,14,0,0,game119
solved,120,86,34,33,0,53,53,86,86,0,game12
solved,219,146,124,65,0,81,97,95,95,0,game120
solved,31900,10683,31814,36,0,10647,12289,86,86,43,game121
solved,407,204,308,41,0,163,193,99,99,0,game122
solved,4169,1413,4083,41,0,1372,1543,86,86,4,game123
unsolvable,4,4,3,0,0,4,53,3,0,0,game124
solved,638,429,542,75,0,354,389,96,96,1,game125
unsolvable,1,1,0,0,0,1,53,0,0,0,game126
solved,356,233,274,69,0,164,193,82,82,0,game127
solved,483,260,393,34,0,226,389,90,90,0,game128
unsolvable,48709754,16550095,48709753,8934716,0,7615379,12582917,83,0,54556,game129
unsolvable,1,1,0,0,0,1,53,0,0,0,game13
solved,139,97,50,30,0,67,97,89,89,0,game130
unsolvable,4960268,2086037,4960267,1276374,0,809663,1572869,91,0,4924,game131
solved,100,84,21,37,0,47,53,79,79,0,game132
unsolvable,105,68,104,6,0,62,97,22,0,0,game133
solved,252,122,159,40,0,82,97,93,93,0,game134
unsolvable,2,2,1,0,0,2,53,1,0,0,game135
unsolvable,54,40,53,0,0,40,53,8,0,0,game136
solved,191,90,103,37,0,53,53,88,88,0,game137
unsolvable,211,167,210,25,0,142,193,12,0,0,game138
solved,28265,9713,28175,1493,0,8220,12289,90,90,32,game139
solved,10632,3044,10554,344,0,2700,3079,78,78,12,game14
solved,303,157,228,44,0,113,193,75,75,0,game140
solved,148,82,66,29,0,53,53,82,82,0,game141
solved,298,97,223,28,0,69,97,75,75,0,game142
solved,6905,2829,6816,1012,0,1817,3079,89,89,7,game143
solved,2587,465,2506,46,0,419,769,81,81,2,game144
solved,106,78,28,23,0,55,97,78,78,0,game145
solved,1213,765,1134,377,0,388,389,79,79,1,game146
solved,4671,1058,4581,240,0,818,1543,90,90,4,game147
solved,113,86,27,35,0,51,53,86,86,0,game148
solved,26310,9389,26213,110,0,9279,12289,97,97,38,game149
timed-out,49710558,14799281,49710529,5519669,0,9279612,12582917,94,29,60000,game15
unsolvable,4,4,3,0,0,4,53,2,0,0,game150
solved,196,102,109,28,0,74,97,87,87,0,game151
solved,2967,490,2879,38,0,452,769,88,88,2,game152
unsolvable,4,4,3,2,0,2,53,3,0,0,game153
solved,8028,2694,7938,40,0,2654,3079,90,90,10,game154
unsolvable,3,3,2,2,0,1,53,2,0,0,game155
solved,119,79,41,31,0,48,53,78,78,0,game156
solved,2198696,900477,2198605,481128,0,419349,786433,91,91,2541,game157
solved,228,170,139,43,0,127,193,89,89,0,game158
unsolvable,11,11,10,2,0,9,53,5,0,0,game159
unsolvable,298,216,297,91,0,125,193,26,0,0,game16
solved,151,77,75,29,0,48,53,76,76,0,game160
solved,173,77,97,27,0,50,53,76,76,0,game161
solved,150,79,71,31,0,48,53,79,79,0,game162
solved,215,107,137,36,0,71,97,78,78,0,game163
unsolvable,3388,1571,3387,80,0,1491,1543,24,0,4,game164
unsolvable,8,7,7,0,0,7,53,3,0,0,game165
solved,20625,7285,20531,1376,0,5909,6151,94,94,24,game166
solved,247,126,160,29,0,97,97,87,87,0,game167
solved,135,109,41,30,0,79,97,94,94,0,game168
timed-out,53508646,20283700,53508608,11590806,0,8692894,12582917,74,38,60000,game169
solved,3406,1438,3320,37,0,1401,1543,86,86,4,game17
unsolvable,15950,7779,15949,1115,0,6664,12289,35,0,24,game170
solved,1293747,314814,1293673,13030,0,301784,393241,74,74,1633,game171
solved,1686759,735907,1686677,458428,0,277479,393241,82,82,1540,game172
solved,10873,3496,10786,396,0,3100,6151,87,87,14,game173
solved,151,95,56,30,0,65,97,95,95,0,game174
unsolvable,2,2,1,0,0,2,53,1,0,0,game175
solved,92,68,24,24,0,44,53,68,68,0,game176
