Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,473257,157582,473163,39971,0,117611,196613,94,94,685,game188
unsolvable,38515,14151,38514,898,0,13253,24593,19,0,65,game189
solved,144,102,56,33,0,69,97,88,88,0,game19
unsolvable,2578440,1068420,2578439,265988,0,802432,1572869,40,0,5663,game190
unsolvable,39577,16363,39576,711,0,15652,24593,16,0,59,game191
solved,12045,4334,11956,1015,0,3319,6151,89,89,16,game192
solved,17181,5418,17088,404,0,5014,6151,93,93,24,game193
unsolvable,406,312,405,2,0,310,389,18,0,1,game194
solved,1118,372,1019,82,0,290,389,99,99,1,game195
solved,110,89,21,28,0,61,97,89,89,0,game196
timed-out,38286861,8181475,38286828,785017,0,7396458,12582917,54,33,60132,game197
unsolvable,11635058,4648528,11635057,1425233,0,3223295,6291469,41,0,19383,game198
solved,1932,1031,1842,190,0,841,1543,90,90,3,game199
unsolvable,4286183,1576811,4286182,319150,0,1257661,1572869,56,0,6693,game2
unsolvable,1,1,0,0,0,1,53,0,0,0,game20
solved,124252,42821,124161,16919,0,25902,49157,91,91,135,game200
unsolvable,2,2,1,0,0,2,53,1,0,0,game201
solved,1289,418,1182,29,0,389,389,107,107,2,game202
unsolvable,1268,705,1267,48,0,657,769,16,0,2,game203
unsolvable,2464,1549,2463,163,0,1386,1543,17,0,3,game204
solved,2721,1646,2627,227,0,1419,1543,94,94,4,game205
solved,5398,1652,5317,230,0,1422,1543,81,81,12,game206
solved,158174,63785,158084,6193,0,57592,98317,90,90,227,game207
unsolvable,10311253,3701873,10311252,792638,0,2909235,3145739,40,0,15298,game208
unsolvable,3,3,2,0,0,3,53,2,0,0,game209
unsolvable,3426,1758,3425,128,0,1630,3079,11,0,6,game21
solved,174,102,80,29,0,73,97,94,94,0,game210
timed-out,38766447,10054445,38766417,2585696,0,7468749,12582917,49,30,60000,game211
solved,7304168,2224755,7304064,883572,0,1341183,1572869,104,104,9598,game212
solved,3723809,1148498,3723708,343007,0,805491,1572869,101,101,5380,game213
unsolvable,5,4,4,0,0,4,53,2,0,0,game214
unsolvable,2378,1190,2377,46,0,1144,1543,10,0,4,game215
solved,12909,6679,12834,1287,0,5392,6151,75,75,20,game216
solved,528230,173769,528142,46189,0,127580,196613,88,88,741,game217
unsolvable,323424,96311,323423,11464,0,84847,98317,42,0,452,game218
timed-out,37213364,7075433,37213306,5561,0,7069872,12582917,83,58,60461,game219
solved,2878,1162,2745,28,0,1134,1543,133,133,6,game22
unsolvable,2,2,1,0,0,2,53,1,0,0,game220
unsolvable,784100,317521,784099,113621,0,203900,393241,33,0,1273,game221
unsolvable,1197,713,1196,1,0,712,769,11,0,2,game222
unsolvable,487,294,486,98,0,196,389,8,0,0,game223
solved,2891,1250,2805,95,0,1155,1543,86,86,5,game224
solved,1080420,265546,1080325,45622,0,219924,393241,95,95,1463,game225
timed-out,45356933,11880886,45356893,4863825,0,7017061,12582917,78,40,60000,game226
solved,305536,99001,305436,14707,0,84294,98317,100,100,457,game227
unsolvable,705377,223249,705376,22514,0,200735,393241,33,0,1154,game228
solved,567,236,469,89,0,147,193,98,98,0,game229
unsolvable,586215,233551,586214,47536,0,186015,196613,39,0,848,game23
solved,9883,4069,9784,268,0,3801,6151,99,99,18,game230
unsolvable,63,51,62,0,0,51,53,6,0,0,game231
unsolvable,18095314,5614855,18095313,1120160,0,4494695,6291469,122,0,29922,game232
solved,32300,12897,32195,777,0,12120,12289,105,105,45,game233
unsolvable,14583,7009,14582,0,0,7009,12289,13,0,23,game234
solved,10333,5059,10249,165,0,4894,6151,84,84,16,game235
solved,43818,17674,43739,11623,0,6051,6151,79,79,37,game236
unsolvable,13117,6707,13116,1064,0,5643,6151,20,0,25,game237
solved,137149,37947,137052,56,0,37891,49157,97,97,193,game238
solved,927,581,840,53,0,528,769,87,87,1,game239
unsolvable,254957,90838,254956,17477,0,73361,98317,30,0,364,game24
solved,21914860,6415858,21914766,777034,0,5638824,6291469,94,94,38374,game240
unsolvable,14361,5115,14360,855,0,4260,6151,12,0,20,game241
solved,976,507,895,80,0,427,769,81,81,1,game242
unsolvable,267047,129926,267046,37585,0,92341,98317,24,0,382,game243
solved,844,386,746,33,0,353,389,98,98,1,game244
solved,121,90,41,28,0,62,97,80,80,0,game245
solved,602,292,513,60,0,232,389,89,89,1,game246
unsolvable,753161,319495,753160,45260,0,274235,393241,29,0,1038,game247
solved,596695,209841,596603,54667,0,155174,196613,92,92,688,game248
unsolvable,9,9,8,0,0,9,53,2,0,0,game249
unsolvable,2508103,879270,2508102,221145,0,658125,786433,36,0,3219,game25
unsolvable,32381,15108,32380,3412,0,11696,12289,23,0,48,game250
solved,160140,52907,160051,9173,0,43734,49157,91,89,200,game251
solved,367,175,279,47,0,128,193,88,88,0,game252
solved,2088,1156,2001,154,0,1002,1543,87,87,4,game253
unsolvable,11,11,10,2,0,9,53,4,0,0,game254
unsolvable,2964369,1415956,2964368,563298,0,852658,1572869,43,0,5293,game255
solved,63580,26755,63492,10889,0,15866,24593,88,88,88,game256
solved,2636553,516217,2636474,5662,0,510555,786433,79,79,3525,game257
unsolvable,1707,875,1706,260,0,615,769,19,0,2,game258
solved,2304,1422,2216,320,0,1102,1543,88,88,3,game259
solved,292,114,178,29,0,85,97,114,114,0,game26
solved,371,197,276,41,0,156,193,95,95,0,game260
unsolvable,1,1,0,0,0,1,53,0,0,0,game261
unsolvable,14969032,4428714,14969031,1406932,0,3021782,3145739,45,0,19114,game262
unsolvable,5181678,1979864,5181677,235988,0,1743876,3145739,33,0,9704,game263
unsolvable,146217,53618,146216,10248,0,43370,49157,63,0,175,game264
solved,14451,3440,14366,722,0,2718,3079,85,85,17,game265
unsolvable,70617,29717,70616,11255,0,18462,24593,51,0,69,game266
solved,854955,280737,854866,46999,0,233738,393241,89,89,1121,game267
solved,1206040,365719,1205924,25668,0,340051,393241,116,116,1591,game268
unsolvable,3075667,1150688,3075666,395356,0,755332,786433,59,0,3768,game269
solved,211014,43503,210929,6976,0,36527,49157,85,85,228,game27
unsolvable,24497656,7623673,24497655,1829666,0,5794007,6291469,35,0,36968,game270
solved,170,149,70,45,0,104,193,100,100,0,game271
solved,149,118,69,34,0,84,97,80,80,0,game272
timed-out,49468411,15817319,49468366,8576761,0,7240558,12582917,64,45,60000,game273
solved,8382,3924,8292,79,0,3845,6151,90,90,15,game274
solved,1657,713,1579,183,0,530,769,78,78,2,game275
solved,1244925,349848,1244840,54352,0,295496,393241,85,85,1542,game276
unsolvable,1859196,740034,1859195,168976,0,571058,786433,73,0,2649,game277
unsolvable,1110061,340291,1110060,18770,0,321521,393241,21,0,1477,game278
unsolvable,26661308,10086485,26661307,4070944,0,6015541,6291469,45,0,37358,game279
solved,842,471,760,75,0,396,769,82,82,1,game28
solved,122,85,37,34,0,51,53,85,85,0,game280
solved,9484,4433,9407,1888,0,2545,3079,77,77,10,game281
unsolvable,1,1,0,0,0,1,53,0,0,0,game282
unsolvable,14632,7819,14631,2568,0,5251,6151,19,0,19,game283
solved,8556,2255,8463,144,0,2111,3079,93,93,11,game284
unsolvable,4514,2348,4513,719,0,1629,3079,12,0,6,game285
unsolvable,1549,739,1548,50,0,689,769,12,0,2,game286
unsolvable,202,138,201,16,0,122,193,9,0,0,game287
solved,2823930,1085499,2823841,565644,0,519855,786433,89,89,3000,game288
unsolvable,244989,89077,244988,23940,0,65137,98317,17,0,331,game289
solved,521,328,426,75,0,253,389,95,95,0,game29
solved,1763199,581619,1763104,383869,0,197750,393241,141,95,1724,game290
unsolvable,1657,888,1656,325,0,563,769,9,0,2,game291
unsolvable,802079,348996,802078,112772,0,236224,393241,42,0,1204,game292
solved,165088,62984,164995,37859,0,25125,49157,93,93,160,game293
solved,32260,16713,32174,4490,0,12223,12289,86,86,47,game294
solved,1634,1091,1549,137,0,954,1543,85,85,3,game295
solved,530084,149600,529986,38258,0,111342,196613,98,98,676,game296
solved,196,106,97,27,0,79,97,99,99,0,game297
solved,3576,1285,3491,35,0,1250,1543,85,85,5,game298
unsolvable,246,175,245,13,0,162,193,22,0,0,game299
unsolvable,7896240,2629407,7896239,574240,0,2055167,3145739,56,0,11821,game3
solved,16551116,4720605,16551024,643995,0,4076610,6291469,92,92,27420,game30
solved,267,148,175,45,0,103,193,92,92,0,game300
solved,929,482,840,37,0,445,769,89,89,1,game301
solved,2089,771,1997,339,0,432,769,92,92,2,game302
solved,391,288,298,79,0,209,389,93,93,0,game303
solved,619952,274079,619854,89185,0,184894,196613,98,98,819,game304
solved,210,137,111,28,0,109,193,99,99,0,game305
unsolvable,10120,3990,10119,273,0,3717,6151,19,0,14,game306
solved,115,86,29,32,0,54,97,86,86,0,game307
