Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,13,13,12,0,0,13,53,6,0,0,game1
solved,92,75,17,25,0,50,53,75,75,0,game10
unsolvable,1,1,0,0,0,1,53,0,0,0,game100
unsolvable,1,1,0,0,0,1,53,0,0,0,game1000
solved,42893,11571,42790,689,0,10882,12289,103,103,109,game101
unsolvable,2316,1408,2315,264,0,1144,1543,13,0,8,game102
unsolvable,83121,38847,83120,18052,0,20795,24593,20,0,175,game103
solved,2352,978,2268,450,0,528,769,84,84,6,game104
unsolvable,76,36,75,0,0,36,53,5,0,0,game105
unsolvable,2,2,1,1,0,1,53,1,0,0,game106
solved,266,109,161,28,0,81,97,105,105,0,game107
solved,182,99,87,31,0,68,97,95,95,0,game108
unsolvable,73139,38665,73138,3333,0,35332,49157,23,0,173,game109
solved,2406,842,2289,195,0,647,769,117,117,6,game11
solved,30514,7479,30428,43,0,7436,12289,86,86,44,game110
solved,261485,92017,261389,33030,0,58987,98317,96,96,438,game111
unsolvable,80417,34347,80416,8536,0,25811,49157,13,0,183,game112
solved,26988,11504,26889,456,0,11048,12289,99,99,77,game113
solved,2796,897,2665,141,0,756,769,131,131,6,game114
unsolvable,1,1,0,0,0,1,53,0,0,0,game115
solved,118,84,34,35,0,49,53,84,84,0,game116
unsolvable,3154849,1063586,3154848,427584,0,636002,786433,48,0,6038,game117
solved,378,236,276,33,0,203,389,102,102,1,game118
solved,109,72,37,30,0,42,53,72,72,0,game119
unsolvable,12,10,11,0,0,10,53,3,0,0,game12
solved,349722,60165,349626,3179,0,56986,98317,248,96,507,game120
solved,3547,1912,3457,604,0,1308,1543,90,90,12,game121
unsolvable,1,1,0,0,0,1,53,0,0,0,game122
solved,145,95,68,26,0,69,97,77,77,0,game123
solved,512,287,419,60,0,227,389,93,93,1,game124
solved,26736,10584,26641,679,0,9905,12289,95,95,72,game125
solved,157,93,64,28,0,65,97,93,93,0,game126
solved,13221,2918,13138,36,0,2882,3079,83,83,30,game127
solved,413778,152598,413681,61478,0,91120,98317,97,97,739,game128
unsolvable,239,157,238,12,0,145,193,6,0,1,game129
unsolvable,7907,4136,7906,116,0,4020,6151,14,0,24,game13
unsolvable,1675,831,1674,360,0,471,769,11,0,3,game130
unsolvable,1269306,531165,1269305,160026,0,371139,393241,44,0,2713,game131
solved,181,135,101,37,0,98,193,80,80,0,game132
solved,2312,1083,2216,440,0,643,769,96,96,5,game133
solved,1156,604,1062,69,0,535,769,94,94,6,game134
solved,4154,1800,4064,195,0,1605,3079,90,90,16,game135
solved,115,98,23,30,0,68,97,92,92,0,game136
solved,211,105,118,33,0,72,97,93,93,0,game137
solved,4081,1882,3992,557,0,1325,1543,89,89,6,game138
solved,18750,5228,18661,2450,0,2778,3079,89,89,19,game139
solved,903,485,809,48,0,437,769,94,94,2,game14
solved,235014,99068,234924,30215,0,68853,98317,90,90,416,game140
solved,1772,644,1676,31,0,613,769,96,96,6,game141
unsolvable,3867,1669,3866,630,0,1039,1543,11,0,10,game142
unsolvable,2,2,1,1,0,1,53,1,0,0,game143
unsolvable,1510,849,1509,164,0,685,769,18,0,3,game144
solved,274195,85207,274101,28254,0,56953,98317,109,94,523,game145
solved,475318,77511,475218,3743,0,73768,98317,100,100,885,game146
solved,167,132,69,30,0,102,193,98,98,0,game147
solved,10652848,2755006,10652751,665097,0,2089909,3145739,216,97,20752,game148
solved,140,105,36,28,0,77,97,104,104,0,game149
solved,251,164,169,34,0,130,193,82,82,0,game15
solved,124388,52945,124288,7082,0,45863,49157,100,100,207,game150
solved,28562,12661,28475,4358,0,8303,12289,87,87,38,game151
unsolvable,249,137,248,0,0,137,193,6,0,0,game152
solved,365,212,265,43,0,169,193,100,100,0,game153
solved,1946,826,1859,64,0,762,769,87,87,3,game154
unsolvable,120535,44925,120534,6838,0,38087,49157,30,0,185,game155
unsolvable,88,58,87,15,0,43,53,6,0,0,game156
unsolvable,2105,1046,2104,323,0,723,769,16,0,3,game157
solved,1075,338,988,28,0,310,389,87,87,1,game158
unsolvable,4683610,1742949,4683609,369509,0,1373440,1572869,27,0,12186,game159
solved,186,110,98,32,0,78,97,88,88,0,game16
unsolvable,4441188,1565345,4441187,497218,0,1068127,1572869,38,0,10667,game160
solved,12697,5700,12603,1174,0,4526,6151,94,94,34,game161
unsolvable,66,50,65,6,0,44,53,10,0,0,game162
solved,10956,3198,10869,71,0,3127,6151,87,87,29,game163
solved,115,89,35,27,0,62,97,80,80,0,game164
solved,731,319,614,32,0,287,389,117,117,1,game165
solved,4764,2032,4682,30,0,2002,3079,82,82,7,game166
unsolvable,13,9,12,0,0,9,53,2,0,0,game167
timed-out,41034989,20598623,41034937,16650390,0,3948233,6291469,124,52,60000,game168
solved,188,143,94,32,0,111,193,94,94,1,game169
solved,867,490,774,98,0,392,769,93,93,2,game17
solved,1049,553,951,80,0,473,769,98,98,2,game170
solved,87,78,9,28,0,50,53,78,78,0,game171
unsolvable,1754629,654999,1754628,185573,0,469426,786433,30,0,4019,game172
solved,39685,12881,39591,7581,0,5300,6151,94,94,53,game173
unsolvable,53631,24357,53630,11925,0,12432,24593,20,0,69,game174
unsolvable,1,1,0,0,0,1,53,0,0,0,game175
unsolvable,178,98,177,17,0,81,97,7,0,0,game176
solved,389,206,301,37,0,169,193,88,88,1,game177
unsolvable,537,228,536,53,0,175,193,12,0,1,game178
solved,5030,2548,4919,109,0,2439,3079,111,111,14,game179
solved,393,266,305,68,0,198,389,88,88,0,game18
unsolvable,212245,86082,212244,20307,0,65775,98317,30,0,398,game180
solved,151,96,59,28,0,68,97,92,92,0,game181
solved,289,166,200,47,0,119,193,89,89,0,game182
unsolvable,2892328,938604,2892327,295434,0,643170,786433,28,0,5834,game183
unsolvable,5409,2409,5408,140,0,2269,3079,10,0,14,game184
solved,199,115,115,30,0,85,97,84,84,0,game185
solved,4362,1655,4270,266,0,1389,1543,92,92,5,game186
solved,2982,1214,2862,37,0,1177,1543,120,120,4,game187
solved,117,83,41,26,0,57,97,76,76,0,game188
solved,96,80,18,27,0,53,53,78,78,0,game189
solved,220,121,129,39,0,82,97,91,91,0,game19
solved,152,94,70,29,0,65,97,82,82,0,game190
solved,13273,6296,13180,854,0,5442,6151,93,93,21,game191
unsolvable,4,4,3,0,0,4,53,3,0,0,game192
solved,184,94,90,35,0,59,97,94,94,0,game193
unsolvable,4476,2212,4475,378,0,1834,3079,20,0,8,game194
unsolvable,659746,273362,659745,139900,0,133462,196613,46,0,979,game195
unsolvable,309,129,308,0,0,129,193,8,0,1,game196
