Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
unsolvable,105779,42701,105778,1862,0,40839,49157,23,0,157,game1
solved,2348,1126,2263,148,0,978,1543,85,85,3,game10
solved,785767,306402,785687,103303,0,203099,393241,80,80,1037,game100
unsolvable,1,1,0,0,0,1,53,0,0,0,game1000
unsolvable,2254,1186,2253,104,0,1082,1543,10,0,5,game101
solved,3446,1007,3352,27,0,980,1543,94,94,7,game102
unsolvable,10,7,9,1,0,6,53,3,0,0,game103
unsolvable,209,148,208,0,0,148,193,6,0,0,game104
unsolvable,98800,45522,98799,6078,0,39444,49157,26,0,171,game105
unsolvable,3,3,2,0,0,3,53,1,0,0,game106
solved,17338,8358,17246,1382,0,6976,12289,92,92,30,game107
solved,483,226,392,57,0,169,193,91,91,1,game108
solved,3103,1722,3015,266,0,1456,1543,88,88,8,game109
solved,254222,79264,254120,30895,0,48369,49157,102,102,405,game11
solved,607,144,499,36,0,108,193,108,108,0,game110
solved,828383,277520,828288,130496,0,147024,196613,95,95,1094,game111
solved,4144,1529,4058,242,0,1287,1543,86,86,5,game112
solved,1378,541,1281,30,0,511,769,97,97,2,game113
unsolvable,18911,8773,18910,948,0,7825,12289,15,0,39,game114
solved,3881,2203,3790,672,0,1531,1543,91,91,9,game115
unsolvable,105178,51327,105177,19340,0,31987,49157,33,0,139,game116
solved,10740,3980,10644,376,0,3604,6151,96,96,15,game117
solved,173,100,81,28,0,72,97,92,92,0,game118
unsolvable,6505,3406,6504,295,0,3111,6151,14,0,9,game119
solved,20088,4887,20000,698,0,4189,6151,88,88,22,game12
solved,8629,3181,8538,337,0,2844,3079,91,91,11,game120
solved,6980,3439,6890,607,0,2832,3079,90,90,10,game121
solved,109,96,16,30,0,66,97,93,93,0,game122
unsolvable,5488432,1868127,5488431,711568,0,1156559,1572869,49,0,7679,game123
