Solution Type,States Searched,Unique States Searched,Backtracks,Dominance Moves,States Removed From Cache,Final States In Cache,Final Buckets In Cache,Maximum Search Depth,Final Search Depth,Time Taken (milliseconds),ID
solved,2503,1006,2412,388,0,618,769,91,91,3,game187
solved,118,102,41,32,0,70,97,77,77,0,game188
unsolvable,5236,3268,5235,1186,0,2082,3079,24,0,7,game189
solved,831,489,735,116,0,373,389,96,96,1,game19
solved,23887479,8075754,23887375,3228716,0,4847038,6291469,104,104,34539,game190
unsolvable,1,1,0,0,0,1,53,0,0,0,game191
unsolvable,55173,18364,55172,1719,0,16645,24593,28,0,80,game192
solved,23301,6775,23216,1960,0,4815,6151,85,85,27,game193
unsolvable,49,31,48,7,0,24,53,8,0,0,game194
solved,66763,25625,66673,8835,0,16790,24593,90,90,90,game195
unsolvable,9329150,3157682,9329149,698864,0,2458818,3145739,42,0,15453,game196
solved,7426709,1296376,7426625,41807,0,1254569,1572869,174,84,9053,game197
unsolvable,29,25,28,2,0,23,53,5,0,0,game198
solved,92,77,15,23,0,54,97,77,77,0,game199
unsolvable,1121466,410045,1121465,57826,0,352219,393241,22,0,1700,game2
solved,410,223,312,37,0,186,193,98,98,0,game20
unsolvable,11,11,10,0,0,11,53,3,0,0,game200
solved,25265,8062,25177,587,0,7475,12289,88,88,37,game201
unsolvable,3570839,1214659,3570838,225756,0,988903,1572869,31,0,5494,game202
unsolvable,13,11,12,3,0,8,53,4,0,0,game203
solved,165,121,74,35,0,86,97,91,91,0,game204
solved,780629,231714,780516,36059,0,195655,196613,113,113,2078,game205
solved,3304,1280,3221,610,0,670,769,83,83,3,game206
solved,129,86,48,30,0,56,97,81,81,0,game207
solved,659826,235332,659738,41792,0,193540,196613,88,88,982,game208
unsolvable,2393460,834466,2393459,146540,0,687926,786433,33,0,3658,game209
timed-out,37075979,12954984,37075955,4642704,0,8312280,12582917,62,24,60000,game21
unsolvable,5098,2514,5097,121,0,2393,3079,17,0,7,game210
unsolvable,53069,25321,53068,9125,0,16196,24593,35,0,74,game211
solved,2953,1018,2859,319,0,699,769,94,94,3,game212
solved,226,135,132,42,0,93,97,94,94,0,game213
solved,20290,8079,20199,467,0,7612,12289,91,91,30,game214
solved,134678,46475,134591,731,0,45744,49157,87,87,217,game215
unsolvable,9,9,8,0,0,9,53,3,0,0,game216
unsolvable,3,3,2,0,0,3,53,1,0,0,game217
solved,3519,1359,3434,176,0,1183,1543,85,85,5,game218
solved,83077,36048,82977,3454,0,32594,49157,100,100,120,game219
unsolvable,1018,440,1017,110,0,330,389,10,0,2,game22
solved,1938,1179,1851,372,0,807,1543,87,87,2,game220
solved,155,120,64,40,0,80,97,91,91,0,game221
timed-out,34956011,10278733,34955974,3780139,0,6498594,12582917,60,37,60000,game222
solved,3072,1196,2978,304,0,892,1543,94,94,5,game223
solved,33961,8956,33832,1062,0,7894,12289,129,129,38,game224
solved,323,140,244,33,0,107,193,79,79,0,game225
unsolvable,817400,321305,817399,97091,0,224214,393241,24,0,1253,game226
unsolvable,6210918,1642724,6210917,33427,0,1609297,3145739,26,0,10656,game227
unsolvable,3894388,1488946,3894387,622648,0,866298,1572869,36,0,5164,game228
solved,37769,19904,37684,9254,0,10650,12289,85,85,48,game229
solved,2089,1066,2003,519,0,547,769,86,86,2,game23
solved,186,119,98,46,0,73,97,88,88,0,game230
unsolvable,482,292,481,4,0,288,389,7,0,1,game231
unsolvable,81657,32766,81656,3434,0,29332,49157,23,0,131,game232
solved,5132792,1170316,5132697,178406,0,991910,1572869,95,95,7451,game233
solved,195,95,100,37,0,58,97,95,95,0,game234
solved,681,275,585,42,0,233,389,96,96,1,game235
unsolvable,271871,127989,271870,35280,0,92709,98317,27,0,445,game236
solved,40558235,9688470,40558134,1661148,0,8027322,12582917,101,101,59306,game237
unsolvable,3444,2268,3443,252,0,2016,3079,21,0,8,game238
unsolvable,239039,80015,239038,2,0,80013,98317,19,0,369,game239
unsolvable,190,158,189,30,0,128,193,9,0,0,game24
solved,252,163,155,36,0,127,193,97,97,0,game240
solved,113,105,21,40,0,65,97,92,92,0,game241
solved,2798,1270,2723,152,0,1118,1543,75,75,4,game242
timed-out,40906569,9313805,40906540,1740326,0,7573479,12582917,58,29,60000,game243
solved,144,92,52,36,0,56,97,92,92,0,game244
unsolvable,1369173,482285,1369172,42482,0,439803,786433,30,0,2214,game245
unsolvable,2693,1394,2692,247,0,1147,1543,13,0,4,game246
solved,118005,42856,117901,17422,0,25434,49157,104,104,138,game247
unsolvable,1,1,0,0,0,1,53,0,0,0,game248
unsolvable,38,38,37,0,0,38,53,10,0,0,game249
unsolvable,6,6,5,0,0,6,53,3,0,0,game25
solved,8151,3876,8038,35,0,3841,6151,113,113,17,game250
unsolvable,27,24,26,1,0,23,53,6,0,0,game251
solved,461,268,359,30,0,238,389,102,102,0,game252
unsolvable,4179999,1737281,4179998,363943,0,1373338,1572869,31,0,8756,game253
unsolvable,10,9,9,1,0,8,53,4,0,0,game254
unsolvable,124772,58069,124771,10149,0,47920,49157,26,0,209,game255
solved,371474,102550,371398,48933,0,53617,98317,76,76,402,game256
solved,3953,1476,3875,471,0,1005,1543,78,78,4,game257
solved,162,133,77,32,0,101,193,85,85,0,game258
solved,125,93,43,28,0,65,97,82,82,0,game259
solved,4499,1696,4403,310,0,1386,1543,96,96,6,game26
unsolvable,28,22,27,0,0,22,53,4,0,0,game260
solved,189,118,85,41,0,77,97,104,104,0,game261
unsolvable,1242,674,1241,0,0,674,769,9,0,3,game262
solved,103,80,23,34,0,46,53,80,80,0,game263
unsolvable,333,204,332,3,0,201,389,9,0,0,game264
unsolvable,2775,1685,2774,262,0,1423,1543,12,0,5,game265
solved,197733,78890,197635,14060,0,64830,98317,98,98,319,game266
solved,427,183,346,38,0,145,193,81,81,0,game267
solved,284,172,191,41,0,131,193,93,93,0,game268
timed-out,47591673,12154078,47591646,5391399,0,6762679,12582917,105,27,60000,game269
unsolvable,6,5,5,0,0,5,53,3,0,0,game27
solved,492,277,403,30,0,247,389,89,89,0,game270
unsolvable,6508,2823,6507,825,0,1998,3079,25,0,9,game271
solved,902,507,808,52,0,455,769,94,94,1,game272
unsolvable,3081,1434,3080,0,0,1434,1543,12,0,5,game273
solved,68873,27688,68788,5798,0,21890,24593,85,85,104,game274
solved,81813,34466,81712,30,0,34436,49157,101,101,155,game275
solved,114,95,26,40,0,55,97,88,88,0,game276
unsolvable,3,3,2,0,0,3,53,1,0,0,game277
solved,156,87,69,36,0,51,53,87,87,0,game278
solved,190,108,91,36,0,72,97,99,99,0,game279
solved,166,118,70,39,0,79,97,96,96,0,game28
solved,95,82,16,34,0,48,53,79,79,0,game280
unsolvable,7321,4052,7320,635,0,3417,6151,18,0,15,game281
solved,216,118,128,26,0,92,97,88,88,0,game282
unsolvable,2,2,1,0,0,2,53,1,0,0,game283
unsolvable,8107,3715,8106,453,0,3262,6151,13,0,15,game284
unsolvable,29808,10964,29807,613,0,10351,12289,17,0,53,game285
solved,361,286,273,63,0,223,389,88,88,1,game286
unsolvable,3,3,2,0,0,3,53,1,0,0,game287
unsolvable,437,255,436,33,0,222,389,12,0,1,game288
solved,12481,4577,12396,348,0,4229,6151,85,85,18,game289
unsolvable,5,5,4,0,0,5,53,3,0,0,game29
solved,336742,165795,336650,39972,0,125823,196613,92,92,646,game290
unsolvable,12321,6315,12320,1450,0,4865,6151,23,0,18,game291
solved,144,100,44,41,0,59,97,100,100,0,game292
solved,6543,2667,6448,97,0,2570,3079,95,95,12,game293
solved,344,169,234,28,0,141,193,110,110,0,game294
unsolvable,253031,98989,253030,20220,0,78769,98317,24,0,416,game295
unsolvable,1193,730,1192,16,0,714,769,14,0,2,game296
solved,156408,73478,156315,20342,0,53136,98317,93,93,258,game297
solved,167,102,73,38,0,64,97,94,94,0,game298
solved,352,134,239,40,0,94,97,113,113,0,game299
solved,588,316,508,34,0,282,389,80,80,1,game3
solved,2644119,786182,2644032,31544,0,754638,786433,87,87,4279,game30
solved,1765,448,1671,28,0,420,769,94,94,2,game300
unsolvable,63069,27517,63068,6304,0,21213,24593,24,0,101,game301
unsolvable,31,22,30,6,0,16,53,4,0,0,game302
solved,4019,2443,3931,77,0,2366,3079,88,88,9,game303
unsolvable,31245,12966,31244,2780,0,10186,12289,14,0,48,game304
solved,10900587,3708748,10900491,547421,0,3161327,6291469,96,96,19592,game305
solved,407,306,325,138,0,168,193,82,82,0,game306
unsolvable,57446,25291,57445,2515,0,22776,24593,25,0,93,game307
solved,143,85,58,32,0,53,53,85,85,0,game308
solved,214372,45065,214287,5679,0,39386,49157,85,85,216,game309
timed-out,32518710,13996751,32518681,4158384,0,9838367,12582917,70,29,60000,game31
unsolvable,7,6,6,0,0,6,53,3,0,0,game310
timed-out,43570560,10667673,43570539,3197698,0,7469975,12582917,50,21,60000,game311
unsolvable,421505,179821,421504,7004,0,172817,196613,32,0,795,game312
unsolvable,10067,4033,10066,724,0,3309,6151,14,0,16,game313
solved,232,114,141,32,0,82,97,91,91,0,game314
unsolvable,1664,888,1663,55,0,833,1543,14,0,2,game315
solved,177903,41907,177810,13468,0,28439,49157,93,93,185,game316
solved,136,85,57,31,0,54,97,79,79,0,game317
unsolvable,50524,21023,50523,6516,0,14507,24593,21,0,57,game318
unsolvable,5251992,2000846,5251991,249360,0,1751486,3145739,36,0,9703,game319
solved,106,87,21,30,0,57,97,85,85,0,game32
solved,1287333,490298,1287229,107115,0,383183,393241,104,104,2763,game320
unsolvable,503636,172922,503635,7059,0,165863,196613,41,0,835,game321
solved,108,84,30,33,0,51,53,78,78,0,game322
solved,5715,2968,5626,207,0,2761,3079,89,89,9,game323
solved,7144,3526,7053,72,0,3454,6151,91,91,12,game324
solved,7176,3966,7084,446,0,3520,6151,92,92,13,game325
unsolvable,5761,2675,5760,0,0,2675,3079,11,0,9,game326
unsolvable,719,436,718,35,0,401,769,10,0,1,game327
solved,171,124,80,41,0,83,97,91,91,0,game328
unsolvable,123,76,122,25,0,51,53,5,0,0,game329
solved,1913,381,1815,29,0,352,389,98,98,2,game33
unsolvable,18525,9094,18524,989,0,8105,12289,23,0,28,game330
solved,204665,60714,204581,32,0,60682,98317,84,84,296,game331
unsolvable,2,2,1,1,0,1,53,1,0,0,game332
solved,4764,1576,4654,151,0,1425,1543,110,110,7,game333
solved,513,289,421,37,0,252,389,92,92,1,game334
unsolvable,21,19,20,1,0,18,53,4,0,0,game335
solved,81748,27587,81657,3457,0,24130,24593,91,91,142,game336
unsolvable,2789,1468,2788,150,0,1318,1543,16,0,5,game337
solved,4597582,1466519,4597470,758620,0,707899,786433,112,112,5352,game338
solved,598,323,505,46,0,277,389,93,93,1,game339
unsolvable,123261,45656,123260,11245,0,34411,49157,19,0,166,game34
unsolvable,22681,11686,22680,2625,0,9061,12289,28,0,35,game340
unsolvable,3,3,2,0,0,3,53,2,0,0,game341
unsolvable,29500722,8051825,29500721,1808512,0,6243313,6291469,64,0,39903,game342
timed-out,38344101,8864891,38344061,314076,0,8550815,12582917,93,40,60000,game343
solved,12013,2812,11935,654,0,2158,3079,78,78,15,game344
unsolvable,444155,186190,444154,74918,0,111272,196613,25,0,577,game345
solved,324,139,214,28,0,111,193,110,110,0,game346
solved,198,105,98,25,0,80,97,100,100,0,game347
unsolvable,87319,36163,87318,7340,0,28823,49157,21,0,137,game348
solved,168,102,78,40,0,62,97,90,90,0,game349
timed-out,40725918,8188533,40725878,925610,0,7262923,12582917,86,40,60000,game35
solved,125,88,45,21,0,67,97,80,80,0,game350
solved,188,99,91,35,0,64,97,97,97,0,game351
solved,19634,8907,19549,2292,0,6615,12289,85,85,65,game352
unsolvable,30717,14771,30716,1427,0,13344,24593,21,0,135,game353
solved,134677,33876,134584,58,0,33818,49157,93,93,367,game354
solved,132,92,49,32,0,60,97,83,83,0,game355
solved,42021,16222,41925,5261,0,10961,12289,96,96,112,game356
solved,4378,1806,4286,35,0,1771,3079,92,92,15,game357
solved,438992,173282,438892,57210,0,116072,196613,100,100,1267,game358
solved,209,97,113,27,0,70,97,96,96,0,game359
solved,192,129,96,39,0,90,97,96,96,0,game36
solved,285,168,186,41,0,127,193,99,99,0,game360
unsolvable,1518583,510192,1518582,46049,0,464143,786433,46,0,4615,game361
unsolvable,1111,723,1110,0,0,723,769,15,0,3,game362
solved,286190,108530,286101,11197,0,97333,98317,89,89,564,game363
solved,643,355,551,32,0,323,389,92,92,1,game364
solved,3422,1668,3335,34,0,1634,3079,87,87,8,game365
unsolvable,695747,240628,695746,81287,0,159341,196613,21,0,1141,game366
unsolvable,30877,12849,30876,2461,0,10388,12289,18,0,50,game367
solved,120,109,28,41,0,68,97,92,92,0,game368
unsolvable,75,53,74,13,0,40,53,9,0,0,game369
solved,95,80,15,29,0,51,53,80,80,0,game37
unsolvable,10512,5597,10511,1523,0,4074,6151,21,0,16,game370
solved,945711,231082,945629,31219,0,199863,393241,82,82,2349,game371
solved,61521,31186,61436,3621,0,27565,49157,85,85,109,game372
solved,107,85,22,41,0,44,53,85,85,0,game373
unsolvable,8,8,7,0,0,8,53,3,0,0,game374
solved,263,124,187,48,0,76,97,76,76,0,game375
solved,23698,3977,23609,61,0,3916,6151,89,89,29,game376
unsolvable,337713,115869,337712,14766,0,101103,196613,20,0,574,game377
solved,5658130,1386579,5658053,74469,0,1312110,1572869,77,77,8546,game378
unsolvable,117,69,116,0,0,69,97,6,0,0,game379
solved,2324,377,2236,35,0,342,389,88,88,2,game38
unsolvable,3814746,1596226,3814745,457040,0,1139186,1572869,55,0,5772,game380
unsolvable,99370,43730,99369,17385,0,26345,49157,25,0,119,game381
solved,1843824,436044,1843721,5567,0,430477,786433,103,103,2795,game382
solved,1258234,393530,1258146,47257,0,346273,393241,88,88,1991,game383
solved,129,100,43,33,0,67,97,86,86,0,game384
unsolvable,15,12,14,4,0,8,53,6,0,0,game385
solved,10400936,3350256,10400843,1836299,0,1513957,1572869,93,93,11422,game386
solved,160,120,65,47,0,73,97,95,95,0,game387
solved,21432,9222,21354,1594,0,7628,12289,78,78,28,game388
solved,75584,24989,75486,4922,0,20067,24593,98,98,107,game389
